Interface,Source,Destination,Protocol,Ports,Action,Purpose
WAN,RFC 1918 Networks,ANY,ANY,ANY,BLOCK,Block Private Networks
WAN,Reserved Not Assigned by IANA,ANY,ANY,ANY,BLOCK,Block Bogon Networks
WAN,ANY,ANY,IPv4*,ANY,BLOCK,Default Deny
MANAGEMENT,ANY,MANAGEMENT Address,ANY,ANY,ALLOW,Anti-Lockout Rule
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP/UDP,3389,ALLOW,RDP (Administration)
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP ,22,ALLOW,SSH (Administration)
MANAGEMENT,MANAGEMENT Subnets,MANGEMENT Address,ICMP,ANY,ALLOW,Ping Gateway
MANAGEMENT,MANAGEMENT Subnets,SERVERS subnets,ICMP,ANY,ALLOW,Ping Servers
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP/UDP,53,ALLOW,DNS
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP/UDP,88,ALLOW,Kerberos
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP/UDP,389,ALLOW,LDAP
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP,445,ALLOW,MS DS
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP,135,ALLOW,RPC MAPPER
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP,49152-65535,ALLOW,Dynamic RPC
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP/UDP,464,ALLOW,Kerberos PWC
MANAGEMENT,MANAGEMENT Subnets,JANGO_DC1,TCP,3268,ALLOW,Global Catalog
MANAGEMENT,ANY,ANY,IPV4*,ANY,BLOCK,Default Deny
USERS,USERS subnets,SERVERS subnets,ICMP,ANY,ALLOW,ICMP Servers
USERS,USERS subnets,MANAGEMENT Subnets,ICMP,ANY,ALLOW,ICMP Management
USERS,USERS subnets,USERS Address,UDP,67-68,ALLOW,DHCP Rule
USERS,USERS subnets,SERVERS Subnets,TCP,443,BLOCK,Intra-Network Blocking
USERS,USERS subnets,MANAGEMENT Subnets,TCP,443,BLOCK,Intra-Network Blocking
USERS,USERS subnets,SERVERS Subnets,TCP,80,BLOCK,Intra-Network Blocking
USERS,USERS subnets,MANAGEMENT Subnets,TCP,80,BLOCK,Intra-Network Blocking
USERS,USERS subnets,ANY,TCP,80,ALLOW,Internet Services (HTTP)
USERS,USERS subnets,ANY,TCP,443,ALLOW,Internet Services (HTTPS)
USERS,USERS subnets,JANGO_DC1,TCP/UDP,53,ALLOW,DNS
USERS,USERS subnets,JANGO_DC1,TCP/UDP,88,ALLOW,Kerberos
USERS,USERS subnets,JANGO_DC1,TCP/UDP,389,ALLOW,LDAP
USERS,USERS subnets,JANGO_DC1,TCP,445,ALLOW,MS DS
USERS,USERS subnets,JANGO_DC1,TCP,135,ALLOW,RPC MAPPER
USERS,USERS subnets,JANGO_DC1,TCP,49152-65535,ALLOW,Dynamic RPC
USERS,USERS subnets,JANGO_DC1,TCP/UDP,464,ALLOW,Kerberos PWC
USERS,USERS subnets,JANGO_DC1,TCP,3268,ALLOW,Global Catalog
USERS,ANY,ANY,IPV4*,ANY,BLOCK,Default Deny
SERVERS,JANGO_DC1,SERVERS Address,TCP/UDP,53,ALLOW,DNS Resolver Rule
SERVERS,JANGO_DC1,Users Subnets,TCP,443,BLOCK,Intra-Network Blocking
SERVERS,JANGO_DC1,MANAGEMENT Subnets,TCP,443,BLOCK,Intra-Network Blocking
SERVERS,JANGO_DC1,Users Subnets,TCP,80,BLOCK,Intra-Network Blocking
SERVERS,JANGO_DC1,MANAGEMENT Subnets,TCP,80,BLOCK,Intra-Network Blocking
SERVERS,JANGO_DC1,ANY,TCP,80,ALLOW,Internet Services
SERVERS,JANGO_DC1,ANY,TCP,443,ALLOW,Internet Services
SERVERS,SERVERS Subnets,SERVER Address,ICMP,ANY,ALLOW,ICMP Gateway
SerVERS,ANY,ANY,IPv4*,ANY,BLOCK,Default Deny
